date,cases
2022-05-05,1
2022-05-06,2
2022-05-07,2
2022-05-08,2
2022-05-09,2
2022-05-10,2
2022-05-11,2
2022-05-12,5
2022-05-13,5
2022-05-14,8
2022-05-15,8
2022-05-16,12
2022-05-17,16
2022-05-18,23
2022-05-19,46
2022-05-20,73
2022-05-21,79
2022-05-22,82
2022-05-23,100
2022-05-24,123
2022-05-25,146
2022-05-26,168
2022-05-27,185
2022-05-28,195
2022-05-29,202
2022-05-30,229
2022-05-31,254
2022-06-01,280
2022-06-02,294
2022-06-03,297
2022-06-04,311
2022-06-05,319
2022-06-06,351
2022-06-07,393
2022-06-08,409
2022-06-09,444
2022-06-10,484
2022-06-11,505
2022-06-12,516
2022-06-13,559
2022-06-14,606
2022-06-15,646
2022-06-16,709
2022-06-17,767
2022-06-18,794
2022-06-19,807
2022-06-20,865
2022-06-21,926
2022-06-22,985
2022-06-23,1030
2022-06-24,1101
2022-06-25,1118
2022-06-26,1139
2022-06-27,1195
2022-06-28,1271
2022-06-29,1316
2022-06-30,1387
2022-07-01,1450
2022-07-02,1473
2022-07-03,1479
2022-07-04,1536
2022-07-05,1583
2022-07-06,1631
2022-07-07,1691
2022-07-08,1745
2022-07-09,1758
2022-07-10,1767
2022-07-11,1831
2022-07-12,1902
2022-07-13,1942
2022-07-14,2000
2022-07-15,2049
2022-07-16,2067
2022-07-17,2069
2022-07-18,2070
